epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75011,2.79389,3.07453,2.63758,0.5758,0.07886,0.04761,0.01232,2.82593,2.33869,3.08942,8.335e-05,8.335e-05,8.335e-05
2,14.5195,2.73081,2.54515,2.49087,0.0778,0.21812,0.07339,0.0248,2.52907,5.37821,2.79682,0.000181555,0.000181555,0.000181555
3,20.3678,2.2627,2.26902,2.1408,0.07712,0.17953,0.07351,0.01641,2.78871,4.16955,3.61451,0.000277779,0.000277779,0.000277779
4,27.2461,1.98889,2.18856,2.02041,0.05165,0.33221,0.0623,0.01691,2.64928,13.2069,3.34293,0.000372023,0.000372023,0.000372023
5,35.1248,1.85953,2.15999,1.93898,0.60306,0.09732,0.06896,0.01936,3.24895,2.46577,4.61613,0.000464286,0.000464286,0.000464286
6,43.1896,1.95233,2.14404,1.94095,0.1232,0.58912,0.14823,0.03611,2.87357,4.99235,3.59748,0.000554569,0.000554569,0.000554569
7,49.1534,1.8243,2.16778,1.91863,0.61709,0.11913,0.08868,0.01852,3.13352,3.37814,4.57098,0.000642872,0.000642872,0.000642872
8,55.7195,1.76861,2.0982,1.85055,0.10824,0.17953,0.1101,0.02499,2.78069,5.5003,3.90117,0.000729194,0.000729194,0.000729194
9,62.8914,1.80163,2.15761,1.91687,0.06761,0.35245,0.07306,0.01811,3.07984,3.30414,4.21358,0.000813536,0.000813536,0.000813536
10,69.9124,1.78768,2.14628,1.88496,0.08258,0.68999,0.08297,0.03008,2.94721,4.91917,3.91944,0.000895897,0.000895897,0.000895897
11,77.3765,1.7525,2.11515,1.90697,0.1127,0.3712,0.1232,0.0357,2.57645,3.2077,2.91123,0.000976279,0.000976279,0.000976279
12,84.3796,1.72974,2.11438,1.86829,0.18891,0.46101,0.16844,0.08045,2.50104,9.76164,3.07819,0.00105468,0.00105468,0.00105468
13,91.7712,1.71783,2.08771,1.8418,0.26541,0.30665,0.26216,0.11692,2.13795,3.09295,2.34786,0.0011311,0.0011311,0.0011311
14,98.9205,1.75461,2.11837,1.8362,0.51658,0.35492,0.35298,0.17602,2.27602,2.33469,2.49787,0.00120554,0.00120554,0.00120554
15,105.662,1.74663,2.12968,1.84902,0.33041,0.37712,0.29047,0.14859,2.24664,2.20478,2.27603,0.001278,0.001278,0.001278
16,113.956,1.71631,2.08879,1.78991,0.26473,0.44183,0.33408,0.15823,2.08117,2.22,2.15746,0.00134848,0.00134848,0.00134848
17,122.374,1.76162,2.09443,1.85813,0.67167,0.26471,0.29053,0.10451,2.58115,2.73689,2.58598,0.00140295,0.00140295,0.00140295
18,131.295,1.72799,2.08859,1.82092,0.49061,0.46269,0.40074,0.15886,1.86557,2.23806,1.94874,0.00138644,0.00138644,0.00138644
19,138.516,1.70286,2.05555,1.81968,0.23949,0.43407,0.2408,0.09323,1.86792,2.2498,1.92455,0.00136994,0.00136994,0.00136994
20,145.357,1.63016,2.06394,1.78101,0.20434,0.41068,0.20219,0.08503,1.86028,2.07942,1.93931,0.00135344,0.00135344,0.00135344
21,152.162,1.68827,2.03036,1.80868,0.5874,0.33546,0.27199,0.12008,1.77022,1.99121,1.82013,0.00133693,0.00133693,0.00133693
22,159.55,1.73174,2.02539,1.84036,0.19355,0.43417,0.23958,0.10831,1.96455,2.04887,1.87279,0.00132043,0.00132043,0.00132043
23,167.456,1.69135,2.04639,1.8024,0.30777,0.45008,0.34869,0.10301,2.01962,2.05475,2.06748,0.00130393,0.00130393,0.00130393
24,174.993,1.69133,2.08475,1.83426,0.36664,0.29826,0.32753,0.07947,2.87553,2.26924,3.07245,0.00128742,0.00128742,0.00128742
25,182.259,1.67712,2.04872,1.79649,0.42714,0.28148,0.33229,0.07953,2.75873,2.3232,2.87248,0.00127092,0.00127092,0.00127092
26,188.778,1.62002,2.04204,1.73131,0.48044,0.31095,0.35994,0.13164,2.01071,2.23045,2.00576,0.00125442,0.00125442,0.00125442
27,195.321,1.60791,1.99931,1.73334,0.31351,0.40486,0.34985,0.12691,1.88481,2.0482,1.97369,0.00123791,0.00123791,0.00123791
28,202.662,1.62131,2.00968,1.7795,0.31498,0.4923,0.37492,0.12819,1.85894,1.98102,1.95312,0.00122141,0.00122141,0.00122141
29,210.067,1.55188,1.96278,1.72891,0.56464,0.31616,0.4132,0.12523,2.33805,1.99892,2.43602,0.00120491,0.00120491,0.00120491
30,216.141,1.58719,1.95975,1.73937,0.35116,0.4761,0.34696,0.13588,1.6634,1.97234,1.7279,0.0011884,0.0011884,0.0011884
31,223.803,1.57261,1.97122,1.6972,0.47077,0.49122,0.40716,0.15413,1.74229,2.00016,1.766,0.0011719,0.0011719,0.0011719
32,230.307,1.62901,1.96803,1.7345,0.3384,0.50293,0.39274,0.12913,1.91255,1.98378,1.82526,0.0011554,0.0011554,0.0011554
33,238.015,1.59622,1.9915,1.73271,0.35625,0.56519,0.43105,0.1836,1.63834,1.89063,1.64177,0.00113889,0.00113889,0.00113889
34,244.928,1.55915,1.93689,1.7072,0.37472,0.77013,0.43893,0.20187,1.6099,1.95634,1.66429,0.00112239,0.00112239,0.00112239
35,251.126,1.52216,1.93986,1.68931,0.35211,0.72758,0.40883,0.19447,1.63496,1.99247,1.69955,0.00110589,0.00110589,0.00110589
36,257.8,1.60311,1.95809,1.74287,0.31368,0.58777,0.30792,0.12633,2.02738,2.04938,2.05814,0.00108938,0.00108938,0.00108938
37,265.181,1.50557,1.92437,1.66547,0.29234,0.66088,0.35228,0.12537,2.05555,2.03176,2.08476,0.00107288,0.00107288,0.00107288
38,271.975,1.53768,1.91649,1.69986,0.29985,0.63393,0.29631,0.15815,1.62658,1.98924,1.69495,0.00105638,0.00105638,0.00105638
39,279.12,1.56047,1.93359,1.72533,0.33223,0.65407,0.33037,0.18574,1.55894,1.92354,1.63503,0.00103987,0.00103987,0.00103987
40,286.611,1.5091,1.89816,1.68222,0.36979,0.73178,0.39302,0.21544,1.56173,1.78586,1.60363,0.00102337,0.00102337,0.00102337
41,292.829,1.55369,1.89657,1.7056,0.40575,0.74576,0.4477,0.2142,1.61638,1.81727,1.68799,0.00100687,0.00100687,0.00100687
42,300.449,1.49185,1.86358,1.66809,0.34297,0.72216,0.3853,0.22499,1.49261,1.81811,1.61429,0.000990365,0.000990365,0.000990365
43,307.988,1.50235,1.88542,1.68245,0.32458,0.68589,0.36381,0.18797,1.50906,1.83922,1.64176,0.000973861,0.000973861,0.000973861
44,313.503,1.49241,1.84328,1.67596,0.35218,0.62229,0.38786,0.16426,1.50786,1.881,1.63377,0.000957358,0.000957358,0.000957358
45,320.686,1.57388,1.88416,1.74205,0.35351,0.61646,0.37941,0.14669,1.64799,1.96092,1.76249,0.000940855,0.000940855,0.000940855
46,327.36,1.47923,1.85395,1.67241,0.34825,0.64587,0.36729,0.13142,1.87167,1.98563,1.95878,0.000924352,0.000924352,0.000924352
47,334.42,1.44043,1.81361,1.60827,0.36734,0.70603,0.41739,0.16236,1.96864,1.97234,2.06998,0.000907848,0.000907848,0.000907848
