epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.993,0.34569,0.81052,0.99895,0.94697,0.95067,0.98234,0.98234,0.06124,0.27341,0.30793,0.00333091,0.00333091,0.00333091
2,493.639,0.25791,0.58213,0.92224,0.93289,0.93378,0.97548,0.97545,0.09842,0.28905,0.31473,0.00659827,0.00659827,0.00659827
3,717.332,0.26558,0.58853,0.9224,0.91817,0.91312,0.97415,0.95495,0.23555,0.47291,0.39738,0.00979963,0.00979963,0.00979963
4,940.382,0.23211,0.57189,0.91132,0.9487,0.94619,0.97472,0.95522,0.30084,0.55132,0.44117,0.009703,0.009703,0.009703
5,1161.67,0.18881,0.53928,0.90262,0.95961,0.94665,0.98398,0.97877,0.19693,0.39158,0.36106,0.009604,0.009604,0.009604
6,1383.68,0.16128,0.51344,0.89928,0.87323,0.90486,0.97552,0.97086,0.15042,0.49349,0.33636,0.009505,0.009505,0.009505
7,1606.55,0.14607,0.50008,0.89512,0.95765,0.95795,0.98367,0.97967,0.1373,0.29351,0.33106,0.009406,0.009406,0.009406
8,1830.48,0.13658,0.49023,0.89306,0.94337,0.95019,0.98059,0.95773,0.17504,0.43025,0.34114,0.009307,0.009307,0.009307
9,2052.88,0.12703,0.481,0.89294,0.95763,0.94742,0.98437,0.97932,0.14281,0.33668,0.33372,0.009208,0.009208,0.009208
10,2274.12,0.11937,0.47261,0.89065,0.96145,0.96094,0.98626,0.97427,0.16379,0.32759,0.34978,0.009109,0.009109,0.009109
11,2495.45,0.11341,0.46823,0.88789,0.95958,0.96214,0.98645,0.98639,0.10258,0.23851,0.30869,0.00901,0.00901,0.00901
12,2715.86,0.10987,0.46287,0.88967,0.95188,0.96416,0.9861,0.98151,0.15077,0.3287,0.33902,0.008911,0.008911,0.008911
13,2935.99,0.10585,0.46173,0.88928,0.92567,0.94384,0.97065,0.95867,0.16468,0.41807,0.33812,0.008812,0.008812,0.008812
14,3152.77,0.10289,0.45785,0.88779,0.95966,0.95757,0.98671,0.96629,0.11974,0.30546,0.32672,0.008713,0.008713,0.008713
15,3372.88,0.10013,0.45171,0.8863,0.96152,0.96144,0.988,0.98562,0.1608,0.40099,0.34874,0.008614,0.008614,0.008614
16,3656.69,0.09638,0.44948,0.88717,0.95714,0.96348,0.9874,0.98698,0.12027,0.33548,0.32548,0.008515,0.008515,0.008515
17,3913.46,0.094,0.44371,0.88798,0.94822,0.95373,0.98587,0.96279,0.14529,0.38242,0.33777,0.008416,0.008416,0.008416
18,4139.12,0.09216,0.44883,0.88556,0.95897,0.95879,0.9878,0.97541,0.17352,0.40774,0.35381,0.008317,0.008317,0.008317
19,4360.07,0.08995,0.43967,0.88658,0.951,0.95478,0.98632,0.96757,0.1599,0.37708,0.35013,0.008218,0.008218,0.008218
20,4579.47,0.08902,0.43917,0.88597,0.95331,0.95678,0.98526,0.98092,0.12739,0.36819,0.32775,0.008119,0.008119,0.008119
21,4797.82,0.08574,0.43817,0.88429,0.96524,0.96666,0.98898,0.98859,0.1203,0.27253,0.32562,0.00802,0.00802,0.00802
22,5020.38,0.08392,0.43215,0.88524,0.96436,0.96537,0.98956,0.98724,0.13993,0.30827,0.33672,0.007921,0.007921,0.007921
23,5245.09,0.08344,0.43613,0.88429,0.96461,0.96919,0.98987,0.98957,0.09338,0.29679,0.31026,0.007822,0.007822,0.007822
24,5465.06,0.08198,0.43126,0.88315,0.96669,0.94166,0.98595,0.98199,0.12324,0.32089,0.32849,0.007723,0.007723,0.007723
25,5689.83,0.0809,0.42793,0.8853,0.9217,0.90812,0.97209,0.96862,0.1583,0.43878,0.34766,0.007624,0.007624,0.007624
26,5922.07,0.08019,0.42972,0.88506,0.96446,0.96578,0.9892,0.98786,0.14004,0.31522,0.33691,0.007525,0.007525,0.007525
27,6143.26,0.07829,0.42501,0.88384,0.963,0.96872,0.98926,0.98601,0.13835,0.3095,0.33756,0.007426,0.007426,0.007426
28,6364.12,0.07624,0.42034,0.88413,0.96661,0.96648,0.98948,0.98475,0.13558,0.30471,0.33534,0.007327,0.007327,0.007327
29,6579.44,0.07519,0.42356,0.88403,0.9685,0.96189,0.98942,0.98818,0.11607,0.27993,0.32367,0.007228,0.007228,0.007228
30,6792.08,0.07415,0.4153,0.88347,0.96662,0.96676,0.98975,0.98968,0.09731,0.24577,0.31226,0.007129,0.007129,0.007129
31,7003.43,0.07315,0.41974,0.88319,0.96771,0.96845,0.98973,0.98966,0.07768,0.21167,0.30441,0.00703,0.00703,0.00703
32,7215.59,inf,0.4164,0.88489,0.96775,0.96785,0.98999,0.98981,0.08021,0.21599,0.30731,0.006931,0.006931,0.006931
33,7428.19,0.07055,0.41339,0.88218,0.96761,0.96914,0.99014,0.9894,0.09713,0.24341,0.31735,0.006832,0.006832,0.006832
34,7638.95,0.07035,0.41464,0.88269,0.97011,0.96695,0.99001,0.98955,0.10445,0.25045,0.31901,0.006733,0.006733,0.006733
35,7849.09,0.06889,0.41506,0.88277,0.96652,0.9709,0.98995,0.98948,0.1039,0.25542,0.31623,0.006634,0.006634,0.006634
36,8059.94,0.06757,0.41477,0.88309,0.96857,0.96914,0.98993,0.9886,0.10822,0.27677,0.31627,0.006535,0.006535,0.006535
37,8270.85,0.06707,0.41253,0.88221,0.9674,0.96918,0.98985,0.98796,0.11661,0.29358,0.32033,0.006436,0.006436,0.006436
38,8482.27,0.06623,0.4077,0.88217,0.96642,0.96913,0.99003,0.98942,0.11258,0.28118,0.31996,0.006337,0.006337,0.006337
39,8692.57,0.06531,0.40609,0.883,0.96362,0.97139,0.98994,0.98987,0.11201,0.27877,0.32065,0.006238,0.006238,0.006238
40,8903.45,0.06423,0.40513,0.8824,0.96431,0.97091,0.98996,0.98991,0.10959,0.27396,0.31875,0.006139,0.006139,0.006139
41,9118.31,inf,0.40838,0.88264,0.96457,0.9709,0.99005,0.99003,0.10151,0.25615,0.31362,0.00604,0.00604,0.00604
42,9336.86,0.06376,0.40488,0.88364,0.96573,0.97098,0.98999,0.98998,0.09191,0.23801,0.30815,0.005941,0.005941,0.005941
43,9553.06,inf,0.40273,0.88196,0.96684,0.9708,0.99005,0.99003,0.08568,0.22738,0.30449,0.005842,0.005842,0.005842
44,9767.33,0.06195,0.40481,0.88278,0.96722,0.96951,0.98999,0.98998,0.07987,0.21676,0.30116,0.005743,0.005743,0.005743
45,9981.96,0.06066,0.40425,0.88239,0.96611,0.97193,0.99002,0.99002,0.07509,0.20886,0.29874,0.005644,0.005644,0.005644
46,10197.5,0.0602,0.40216,0.8827,0.96824,0.97018,0.98999,0.98999,0.07234,0.20457,0.29749,0.005545,0.005545,0.005545
47,10413.1,0.05945,0.3996,0.88129,0.96796,0.97041,0.99005,0.99004,0.07205,0.20442,0.29732,0.005446,0.005446,0.005446
48,10625.8,0.05849,0.40169,0.88229,0.96682,0.97046,0.99006,0.99006,0.0705,0.20271,0.29646,0.005347,0.005347,0.005347
49,10840.8,0.05793,0.39785,0.88154,0.96662,0.97033,0.99011,0.99011,0.07177,0.20533,0.29702,0.005248,0.005248,0.005248
50,11056.6,0.05759,0.39656,0.88141,0.96677,0.97046,0.99012,0.99012,0.07344,0.20823,0.29772,0.005149,0.005149,0.005149
51,11295.1,0.05576,0.39585,0.88214,0.96608,0.9705,0.99009,0.99008,0.07394,0.21045,0.2981,0.00505,0.00505,0.00505
52,11546,0.05533,0.39741,0.88261,0.97035,0.96636,0.99006,0.99005,0.07459,0.21473,0.29858,0.004951,0.004951,0.004951
