epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9463,1.65322,2.94796,3.25272,1.43026,0.00759,0.73889,0.22099,0.1346,0.0064,0.57778,0.21707,0.13513,1.71122,6.42896,3.34748,1.65757,0.00046412,0.00046412,0.00046412
2,20.4252,1.43126,2.22272,2.10075,1.32857,0.53072,0.23644,0.33547,0.21779,0.5047,0.192,0.30181,0.18852,1.48685,4.43278,2.64405,1.46981,0.000931143,0.000931143,0.000931143
3,29.7857,1.46157,2.23317,1.99382,1.33966,0.41998,0.34286,0.3424,0.15774,0.44122,0.35556,0.34431,0.19974,1.93501,4.08333,2.28525,1.88334,0.00138873,0.00138873,0.00138873
4,39.057,1.44825,2.10851,1.85381,1.3566,0.42021,0.58889,0.45064,0.24448,0.41876,0.58889,0.44694,0.23738,1.46633,2.59533,3.5805,1.54561,0.00138656,0.00138656,0.00138656
5,48.4561,1.40903,2.10763,1.80717,1.33021,0.42056,0.54103,0.38445,0.25827,0.42461,0.52222,0.3797,0.25072,1.36019,2.44822,3.66901,1.47445,0.00137241,0.00137241,0.00137241
6,57.9576,1.42863,2.09928,1.72783,1.34419,0.87361,0.26111,0.42599,0.2413,0.81704,0.28889,0.41497,0.23977,1.43477,2.37913,2.03949,1.48701,0.00135826,0.00135826,0.00135826
7,67.2692,1.3286,2.00695,1.61255,1.2938,0.59339,0.52996,0.54866,0.33824,0.59339,0.52996,0.54366,0.33427,1.33771,2.32653,1.66849,1.42757,0.00134412,0.00134412,0.00134412
8,76.6662,1.32914,1.95293,1.58105,1.29792,0.50901,0.55,0.50304,0.30557,0.49328,0.57222,0.52148,0.31461,1.3532,2.16182,1.60222,1.47292,0.00132997,0.00132997,0.00132997
9,86.0186,1.29907,1.90145,1.48596,1.28413,0.61402,0.59444,0.56761,0.38214,0.61402,0.59444,0.57041,0.369,1.25988,1.93231,1.45016,1.32506,0.00131582,0.00131582,0.00131582
10,95.5658,1.29635,1.93448,1.48893,1.26135,0.68819,0.64699,0.66958,0.41447,0.67739,0.63588,0.65416,0.40939,1.34492,1.99646,1.34079,1.42313,0.00130168,0.00130168,0.00130168
11,105.054,1.27474,1.90438,1.42869,1.27061,0.66037,0.55415,0.588,0.3732,0.69497,0.50877,0.56913,0.36249,1.31067,2.14934,1.7175,1.38195,0.00128753,0.00128753,0.00128753
12,114.791,1.24318,1.78725,1.38781,1.23657,0.55427,0.64719,0.57319,0.37321,0.5549,0.62778,0.57421,0.37953,1.30862,2.02214,1.36956,1.39352,0.00127338,0.00127338,0.00127338
13,124.484,1.24216,1.8935,1.39453,1.23633,0.58754,0.57906,0.6113,0.36998,0.63708,0.55175,0.61477,0.39632,1.3717,1.90424,1.38974,1.3887,0.00125923,0.00125923,0.00125923
14,134.414,1.23701,1.82138,1.36994,1.24481,0.76256,0.6,0.68738,0.45597,0.76256,0.6,0.68846,0.45767,1.21463,2.08309,1.26112,1.3272,0.00124509,0.00124509,0.00124509
15,144.043,1.21922,1.83741,1.38766,1.22845,0.67518,0.64482,0.62298,0.40008,0.67518,0.64482,0.62014,0.40339,1.26891,1.98553,1.31123,1.35901,0.00123094,0.00123094,0.00123094
16,153.649,1.2259,1.82996,1.33136,1.23366,0.63032,0.58889,0.6005,0.40428,0.65135,0.6,0.60342,0.38632,1.2324,1.94286,1.42526,1.35865,0.00121679,0.00121679,0.00121679
17,163.317,1.23323,1.87311,1.39261,1.2516,0.63605,0.65378,0.65248,0.41518,0.61879,0.64444,0.63524,0.41519,1.31169,1.87353,1.29638,1.38534,0.00120265,0.00120265,0.00120265
18,172.968,1.16576,1.77683,1.25067,1.18588,0.7249,0.56667,0.60285,0.40486,0.7249,0.56667,0.60111,0.39912,1.23392,1.96388,1.3056,1.30168,0.0011885,0.0011885,0.0011885
19,182.707,1.14771,1.78719,1.27939,1.17365,0.6472,0.67528,0.66792,0.42703,0.6472,0.67528,0.67103,0.42069,1.24399,1.93625,1.27009,1.30588,0.00117435,0.00117435,0.00117435
20,193.878,1.18091,1.78387,1.28418,1.21763,0.707,0.54429,0.61748,0.42117,0.69936,0.55953,0.62571,0.41761,1.24819,1.91266,1.32197,1.32878,0.00116021,0.00116021,0.00116021
21,203.782,1.17163,1.75198,1.23035,1.18791,0.57895,0.63889,0.62638,0.42481,0.57437,0.63333,0.61639,0.40985,1.20141,2.06306,1.27841,1.32031,0.00114606,0.00114606,0.00114606
22,213.488,1.13836,1.75887,1.20927,1.17291,0.68357,0.60934,0.66239,0.45783,0.69506,0.6198,0.66127,0.44805,1.19859,2.0162,1.22973,1.29905,0.00113191,0.00113191,0.00113191
23,223.208,1.13301,1.73489,1.20719,1.20376,0.69446,0.61111,0.65931,0.43822,0.68856,0.60556,0.64746,0.4321,1.16078,1.82989,1.24299,1.28305,0.00111776,0.00111776,0.00111776
24,232.921,1.11891,1.7529,1.18973,1.18049,0.61376,0.63245,0.60545,0.39606,0.62409,0.64158,0.60845,0.39806,1.19215,2.0075,1.30911,1.30326,0.00110362,0.00110362,0.00110362
25,242.905,1.13778,1.6686,1.16701,1.17664,0.71086,0.56667,0.62579,0.40926,0.73448,0.57778,0.63618,0.41506,1.23514,1.80463,1.31671,1.29017,0.00108947,0.00108947,0.00108947
26,252.81,1.13186,1.73578,1.19836,1.17169,0.67978,0.67322,0.6843,0.43832,0.62386,0.68734,0.66974,0.43399,1.22818,1.83435,1.2078,1.30767,0.00107532,0.00107532,0.00107532
27,262.679,1.10074,1.63576,1.15338,1.15851,0.59413,0.68889,0.6677,0.45106,0.60494,0.7,0.67064,0.44815,1.19139,1.77609,1.21388,1.29749,0.00106118,0.00106118,0.00106118
28,272.542,1.10025,1.70681,1.15187,1.17853,0.61794,0.68357,0.68488,0.4703,0.61794,0.68357,0.68564,0.46662,1.17427,1.88096,1.14175,1.33296,0.00104703,0.00104703,0.00104703
