epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3631,1.68818,3.01448,3.53874,1.42743,0.00526,0.94444,0.25254,0.14012,0.00542,0.92222,0.26353,0.15049,1.31017,4.07573,3.22606,1.24559,0.00046412,0.00046412,0.00046412
2,20.6241,1.48687,2.22319,2.27822,1.29761,0.36694,0.22433,0.2905,0.1525,0.39009,0.23333,0.29843,0.18515,1.50592,3.08629,2.68221,1.55017,0.000931143,0.000931143,0.000931143
3,30.4194,1.50802,2.25013,2.0784,1.35716,0.50794,0.50312,0.41757,0.25369,0.48084,0.52222,0.39259,0.23917,1.55712,3.86721,2.37286,1.72523,0.00138873,0.00138873,0.00138873
4,40.0115,1.49625,2.1905,1.94591,1.35994,0.54341,0.45,0.4566,0.26036,0.55162,0.46111,0.44106,0.24829,1.51021,3.12804,2.11949,1.5817,0.00138656,0.00138656,0.00138656
5,49.5417,1.48128,2.16668,1.87521,1.32982,0.48267,0.61667,0.46777,0.26632,0.45648,0.57222,0.43036,0.21393,1.50413,3.70669,1.92341,1.44822,0.00137241,0.00137241,0.00137241
6,58.9501,1.47957,2.1847,1.7947,1.34949,0.63931,0.43889,0.49105,0.28372,0.64892,0.43333,0.4992,0.28534,1.42726,2.48751,1.73767,1.44279,0.00135826,0.00135826,0.00135826
7,68.4021,1.36977,2.06659,1.68396,1.2888,0.60367,0.56481,0.56739,0.35731,0.60822,0.5747,0.58035,0.34017,1.27732,2.37762,1.82093,1.30485,0.00134412,0.00134412,0.00134412
8,77.8187,1.36684,2.01063,1.65642,1.27732,0.5827,0.54116,0.55676,0.34292,0.58936,0.53333,0.57095,0.32498,1.33267,2.35958,1.41155,1.36393,0.00132997,0.00132997,0.00132997
9,87.1943,1.32026,2.02308,1.58509,1.27014,0.47198,0.52222,0.47461,0.2938,0.52419,0.56111,0.50726,0.29709,1.46873,2.30475,1.61642,1.40767,0.00131582,0.00131582,0.00131582
10,96.7697,1.34936,2.01813,1.5328,1.26976,0.67344,0.49109,0.54708,0.34327,0.6843,0.49447,0.54588,0.34607,1.36334,2.13596,1.51534,1.35477,0.00130168,0.00130168,0.00130168
11,106.376,1.33162,1.93882,1.51097,1.26841,0.5028,0.55146,0.51876,0.32842,0.48367,0.59444,0.51127,0.31197,1.31822,2.21078,1.83593,1.35191,0.00128753,0.00128753,0.00128753
12,115.873,1.29051,1.84669,1.46134,1.23008,0.71268,0.6,0.60971,0.37249,0.71268,0.6,0.62126,0.37235,1.28091,2.00192,1.34916,1.33391,0.00127338,0.00127338,0.00127338
